
python3 als_docker_logs.py Exp_data

run_no_1\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu2_usage                                                         0.223626  0.0010732948
Cpu3_usage                                                         0.223098  0.0011037538
CpuALL_usage                                                       0.223503  0.0010802930
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.453747  0.0000000000
Number of logs from container mongodb-attractio...                 0.026492  0.7020145528
Number of logs from container mongodb-geo-1                        0.017761  0.7975777693
Number of logs from container mongodb-profile-1                   -0.156028  0.0233975221
Number of logs from container mongodb-rate-1                      -0.159076  0.0207926935
Number of logs from container mongodb-recommend...                 0.016356  0.8132854782
Number of logs from container mongodb-reservati...                 0.600350  0.0000000000
Number of logs from container mongodb-review-1                     0.017761  0.7975777693
Number of logs from container mongodb-user-1                       0.016356  0.8132854782
Reads_on_sda                                                       0.481257  0.0000000000
Writes_on_sda                                                      0.179993  0.0087814049
memory_usage                                                      -0.167764  0.0146972758

run_no_2\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.196567  0.0042435038
Cpu1_usage                                                         0.195763  0.0044058260
Cpu2_usage                                                         0.195684  0.0044220594
Cpu3_usage                                                         0.195608  0.0044376043
CpuALL_usage                                                       0.195900  0.0043776218
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.569013  0.0000000000
Number of logs from container mongodb-attractio...                 0.034577  0.6183240500
Number of logs from container mongodb-geo-1                        0.034577  0.6183240500
Number of logs from container mongodb-profile-1                   -0.349701  0.0000001965
Number of logs from container mongodb-rate-1                      -0.361360  0.0000000710
Number of logs from container mongodb-recommend...                 0.034577  0.6183240500
Number of logs from container mongodb-reservati...                 0.752295  0.0000000000
Number of logs from container mongodb-review-1                     0.034577  0.6183240500
Number of logs from container mongodb-user-1                       0.021219  0.7598441711
Reads_on_sda                                                       0.422919  0.0000000002
Writes_on_sda                                                      0.131150  0.0577752026
memory_usage                                                       0.044944  0.5171552884

run_no_3\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.254167  0.0001903246
Cpu1_usage                                                         0.253817  0.0001943752
Cpu2_usage                                                         0.254243  0.0001894583
Cpu3_usage                                                         0.253723  0.0001954863
CpuALL_usage                                                       0.253982  0.0001924626
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.637827  0.0000000000
Number of logs from container mongodb-attractio...                 0.013366  0.8469549707
Number of logs from container mongodb-geo-1                       -0.008585  0.9013393524
Number of logs from container mongodb-profile-1                   -0.092878  0.1789407365
Number of logs from container mongodb-rate-1                      -0.208402  0.0023446372
Number of logs from container mongodb-recommend...                 0.014655  0.8323998910
Number of logs from container mongodb-reservati...                 0.735040  0.0000000000
Number of logs from container mongodb-review-1                    -0.008585  0.9013393524
Number of logs from container mongodb-user-1                      -0.003567  0.9589179570
Reads_on_sda                                                       0.415650  0.0000000003
Writes_on_sda                                                      0.162186  0.0183974132
memory_usage                                                      -0.020935  0.7624004325

run_no_4\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.198442  0.0038005918
Cpu1_usage                                                         0.198168  0.0038503211
Cpu2_usage                                                         0.199197  0.0036668405
Cpu3_usage                                                         0.197326  0.0040064929
CpuALL_usage                                                       0.198310  0.0038245180
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.665754  0.0000000000
Number of logs from container mongodb-attractio...                 0.029386  0.6712617688
Number of logs from container mongodb-geo-1                        0.012604  0.8555831977
Number of logs from container mongodb-profile-1                   -0.076823  0.2665994395
Number of logs from container mongodb-rate-1                      -0.087573  0.2051756345
Number of logs from container mongodb-recommend...                 0.012604  0.8555831977
Number of logs from container mongodb-reservati...                 0.791636  0.0000000000
Number of logs from container mongodb-review-1                     0.012604  0.8555831977
Number of logs from container mongodb-user-1                       0.024069  0.7281470659
Reads_on_sda                                                       0.320484  0.0000019980
Writes_on_sda                                                      0.083366  0.2278689658
memory_usage                                                      -0.107180  0.1206376781

run_no_5\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.229573  0.0007796560
Cpu1_usage                                                         0.229552  0.0007805362
Cpu2_usage                                                         0.229572  0.0007797050
Cpu3_usage                                                         0.229627  0.0007773455
CpuALL_usage                                                       0.229607  0.0007782198
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.724286  0.0000000000
Number of logs from container mongodb-attractio...                -0.112340  0.1036740009
Number of logs from container mongodb-geo-1                        0.012593  0.8557020738
Number of logs from container mongodb-profile-1                   -0.028493  0.6806940145
Number of logs from container mongodb-rate-1                      -0.462015  0.0000000000
Number of logs from container mongodb-recommend...                -0.112340  0.1036740009
Number of logs from container mongodb-reservati...                 0.774855  0.0000000000
Number of logs from container mongodb-review-1                     0.029587  0.6691508678
Number of logs from container mongodb-user-1                       0.018089  0.7939226147
Reads_on_sda                                                       0.055341  0.4238801755
Writes_on_sda                                                      0.133923  0.0520704905
memory_usage                                                      -0.172763  0.0119523148

run_no_6\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.147255  0.0329389030
Cpu1_usage                                                         0.148004  0.0320482812
Cpu2_usage                                                         0.147291  0.0328951562
Cpu3_usage                                                         0.148979  0.0309214892
CpuALL_usage                                                       0.147895  0.0321775871
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.573234  0.0000000000
Number of logs from container mongodb-attractio...                 0.010906  0.8751649397
Number of logs from container mongodb-geo-1                       -0.011676  0.8664324559
Number of logs from container mongodb-profile-1                   -0.100882  0.1451420273
Number of logs from container mongodb-rate-1                      -0.335676  0.0000006337
Number of logs from container mongodb-recommend...                 0.010699  0.8775150546
Number of logs from container mongodb-reservati...                 0.697358  0.0000000000
Number of logs from container mongodb-review-1                     0.010699  0.8775150546
Number of logs from container mongodb-user-1                      -0.011676  0.8664324559
Reads_on_sda                                                       0.248976  0.0002684083
Writes_on_sda                                                      0.190695  0.0055640370
memory_usage                                                       0.327836  0.0000011897

run_no_7\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.182811  0.0079122234
Cpu1_usage                                                         0.182980  0.0078539338
Cpu2_usage                                                         0.183292  0.0077472342
Cpu3_usage                                                         0.182897  0.0078824446
CpuALL_usage                                                       0.182988  0.0078511496
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.600409  0.0000000000
Number of logs from container mongodb-attractio...                 0.019332  0.7806274938
Number of logs from container mongodb-geo-1                        0.019832  0.7751024314
Number of logs from container mongodb-profile-1                   -0.214292  0.0017888896
Number of logs from container mongodb-rate-1                      -0.215869  0.0016509461
Number of logs from container mongodb-recommend...                 0.019832  0.7751024314
Number of logs from container mongodb-reservati...                 0.714032  0.0000000000
Number of logs from container mongodb-review-1                     0.019332  0.7806274938
Number of logs from container mongodb-user-1                       0.019332  0.7806274938
Reads_on_sda                                                       0.494536  0.0000000000
Writes_on_sda                                                      0.110785  0.1094278640
memory_usage                                                      -0.040504  0.5594216711

run_no_8\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.187476  0.0064346192
Cpu1_usage                                                         0.188194  0.0062306038
Cpu2_usage                                                         0.189854  0.0057806013
Cpu3_usage                                                         0.190389  0.0056420194
CpuALL_usage                                                       0.188989  0.0060111992
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.564533  0.0000000000
Number of logs from container mongodb-attractio...                 0.015732  0.8207121193
Number of logs from container mongodb-geo-1                        0.015732  0.8207121193
Number of logs from container mongodb-profile-1                   -0.303745  0.0000074033
Number of logs from container mongodb-rate-1                      -0.316590  0.0000028490
Number of logs from container mongodb-recommend...                 0.015732  0.8207121193
Number of logs from container mongodb-reservati...                 0.723130  0.0000000000
Number of logs from container mongodb-review-1                     0.020535  0.7673586999
Number of logs from container mongodb-user-1                       0.020535  0.7673586999
Reads_on_sda                                                       0.338317  0.0000005106
Writes_on_sda                                                      0.192583  0.0051039216
memory_usage                                                       0.667321  0.0000000000

run_no_9\dk_correlation_results.csv
                                                    correlation_coefficient       p_value
Cpu0_usage                                                         0.189209  0.0057159176
Cpu1_usage                                                         0.191264  0.0052024076
Cpu2_usage                                                         0.188124  0.0060051517
Cpu3_usage                                                         0.190555  0.0053746750
CpuALL_usage                                                       0.189803  0.0055631139
Energy_usage_during_time                                           1.000000  0.0000000000
Number of docker log per second                                    0.640809  0.0000000000
Number of logs from container mongodb-attractio...                -0.230286  0.0007282661
Number of logs from container mongodb-geo-1                        0.006775  0.9218841473
Number of logs from container mongodb-profile-1                   -0.476575  0.0000000000
Number of logs from container mongodb-rate-1                      -0.385323  0.0000000065
Number of logs from container mongodb-recommend...                 0.006916  0.9202593008
Number of logs from container mongodb-reservati...                 0.754686  0.0000000000
Number of logs from container mongodb-review-1                     0.006916  0.9202593008
Number of logs from container mongodb-user-1                       0.003176  0.9633393292
Reads_on_sda                                                       0.481690  0.0000000000
Writes_on_sda                                                      0.145190  0.0346257912
memory_usage                                                      -0.070306  0.3082619592

